"","FIPS_CODE","Total_Pop","Male_Pop_Prop","Total_White","Total_Black","Total_Hispanic","Total_Other","Total_Households_Below_Poverty","Total_Households_Above_Poverty","total cases","4 week ahead mean error","3 week ahead mean error","2 week ahead mean error","1 week ahead mean error","4 week ahead absolute error mean","3 week ahead absolute error mean","2 week ahead absolute error mean","1 week ahead absolute error mean","4 week ahead absolute error median","3 week ahead absolute error median","2 week ahead absolute error median","1 week ahead absolute error median","4 week ahead absolute error q1","3 week ahead absolute error q1","2 week ahead absolute error q1","1 week ahead absolute error q1","4 week ahead absolute error q3","3 week ahead absolute error q3","2 week ahead absolute error q3","1 week ahead absolute error q3"
"1920","37061",59062,0.487284548440622,41673,14450,12909,2939,4662,17119,11558,-39.8108108108108,-37.4324324324324,-32.7297297297297,-29.8648648648649,99.6756756756757,89.7027027027027,85.027027027027,80.5945945945946,69.5,45.5,44.5,37,24.75,19.25,19,13.25,135.25,126.75,119.5,111
"1921","37063",306457,0.478158436583273,157366,113511,41189,35580,17344,106100,43231,-107.013513513514,-103.243243243243,-97.8783783783784,-94.1216216216216,252.283783783784,234.243243243243,219.418918918919,192.986486486486,175.5,162.5,147.5,110,71.75,82,64.25,33.25,356.75,333.25,286,263.25
"1922","37065",53332,0.466061651541289,20527,30549,2358,2256,5248,16123,10280,-37.3513513513514,-34.972972972973,-31.8243243243243,-30.7432432432432,67.6486486486486,64.5945945945946,58.3648648648649,49.9324324324324,45,43,36,25.5,19.75,17.25,16.25,14,81.5,86.75,81.25,61.75
"1923","37067",371573,0.474568927236371,245930,97010,46913,28633,23545,123140,66942,-222.878378378378,-211.405405405405,-194.540540540541,-184.040540540541,443.013513513513,399.540540540541,358.594594594595,306.283783783784,306,264.5,225.5,177,142.25,134,114.5,77,668.25,552.25,448,361.75
"1924","37069",64902,0.497380666235247,43927,16410,5276,4565,3152,21597,13681,-45.7162162162162,-44,-42.0405405405405,-40.9324324324324,93.0135135135135,80.054054054054,73.2027027027027,68.3108108108108,84,69,54.5,38.5,27.5,19.5,19.25,19.25,139.5,116,93.5,86.25
"1925","37071",216585,0.481893944640672,166636,34616,14642,15333,12212,69282,52014,-212.256756756757,-197.310810810811,-181.567567567568,-172.027027027027,378.202702702703,332.22972972973,288.675675675676,241.783783783784,260.5,207.5,172,105.5,109.25,91.75,72.25,37.75,597.5,468.5,333.75,244.75
"1926","37073",11563,0.486638415636081,7319,3891,41,353,501,3976,1436,-4.63513513513514,-4.3108106418902,-3.87837837837838,-3.64864864864865,11.2567567567568,10.8513511824307,9.36486486486486,8.08108108108108,7,5.5,5,4,3,3,2,2,15,16,14.5,11
"1927","37075",8557,0.491994858010985,7514,13,129,1030,633,2655,1726,-13.6486486486486,-13.0135135135135,-11.8648648648649,-10.6081081081081,21.2702702702703,19.3648648648649,16.5675675675676,13.9864864864865,9.5,10,7,6,5.25,4,4,3,29.5,26,20.25,15
"1928","37077",58874,0.510344124740972,35927,17923,4563,5024,2826,18204,9714,-21.1486449323953,-19.6216079728365,-18.0405405405405,-17.1081081081081,67.6351314188818,62.4053917566203,60.9594594594595,53.2702702702703,49,41.5,37.5,27.5,26,21,16,13.25,95.5,82.5,85.75,58
"1929","37079",21008,0.551837395277989,12276,7502,3116,1230,1643,5616,4265,-13.7027027027027,-13.2702702702703,-12.3648648648649,-12.0810810810811,32.4324324324324,29.7027027027027,28.1486486486486,23.6756756756757,21.5,19.5,18.5,15.5,10,7.25,8,7,53.5,41,34,26.5
"1930","37081",523582,0.473696574748559,292060,176785,40824,54737,29781,172950,90426,-292.513513513513,-275.797297297297,-260.405405405405,-254.094594594595,572.486486486486,511.418918918919,457.513513513513,394.391891891892,435.5,350,299.5,188,212.5,189.75,141.25,79.75,792.25,677.75,542.5,467.25
"1931","37083",51737,0.482420704718093,20741,27353,1440,3643,5232,15884,10544,-33.5540540540541,-31.7027027027027,-29.3918918918919,-27.8513513513514,77.2837837837838,66.4324324324324,62.0945945945946,53.2027027027027,52.5,40,33.5,23.5,24,18.25,17,9,134,95.75,74,68
"1932","37085",130361,0.495347534922254,87990,27164,16196,15207,6928,38158,25199,-103.716216216216,-100.081081081081,-93.4324324324324,-88.2297297297297,164.986486486486,148.216216216216,136.405405405405,123.824324324324,99,84,68.5,51,36.5,33.25,25.25,19,221.75,192.5,166.25,141.25
"1933","37087",60433,0.48351066470306,57778,617,2307,2038,3510,22826,10059,-49.4594594594595,-46.4324324324324,-42.1756756756757,-40.1216216216216,83.4594594594595,74.1621621621622,65.0675675675676,54.1486486486486,43,44,40,22,16,16.25,11.25,8.5,137,107,78.75,57.75
"1934","37089",113625,0.481619361936194,103130,3761,11423,6734,5483,42798,20461,-72.6486271957314,-68.9324237836973,-63.6351351351351,-60.7972972972973,149.999978547083,131.256757094598,127.013513513514,112.635135135135,87.5,69.5,60,52,25.25,28,24.5,26,251.25,184,170.5,138.5
"1935","37091",24153,0.494638347203246,8418,14377,897,1358,2054,6845,3405,-10.0540539189176,-9.31081081081081,-8.33783783783784,-7.77027027027027,29.5945944594581,25.3648648648649,21.2027027027027,16.9594594594595,18,16.5,14,8,8.25,7.25,5,3,46,40.75,29.75,22.75
